"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 22 21:00:12 MSK 2023","Fri Dec 22 21:00:24 MSK 2023","11233","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldReturnSQLDataWithoutCardNr","shouldReturnSQLDataWithoutCardNr()",""
"passed","Fri Dec 22 21:00:25 MSK 2023","Fri Dec 22 21:00:34 MSK 2023","9496","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldPassPurchaseDrFstCard","shouldPassPurchaseDrFstCard()",""
"failed","Fri Dec 22 21:00:44 MSK 2023","Fri Dec 22 21:00:49 MSK 2023","5018","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNameSpace","shouldNotPassPurchaseDrFstCardNameSpace()",""
"passed","Fri Dec 22 21:00:34 MSK 2023","Fri Dec 22 21:00:35 MSK 2023","978","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardYearEmpty","shouldNotPassPurchaseDrFstCardYearEmpty()",""
"passed","Fri Dec 22 21:01:10 MSK 2023","Fri Dec 22 21:01:11 MSK 2023","956","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNrEmpty","shouldNotPassPurchaseDrFstCardNrEmpty()",""
"passed","Fri Dec 22 21:00:43 MSK 2023","Fri Dec 22 21:00:43 MSK 2023","945","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNameEmpty","shouldNotPassPurchaseDrFstCardNameEmpty()",""
"failed","Fri Dec 22 21:01:05 MSK 2023","Fri Dec 22 21:01:10 MSK 2023","5078","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNameDigits","shouldNotPassPurchaseDrFstCardNameDigits()",""
"passed","Fri Dec 22 21:01:12 MSK 2023","Fri Dec 22 21:01:13 MSK 2023","975","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardMonthInvalid","shouldNotPassPurchaseDrFstCardMonthInvalid()",""
"passed","Fri Dec 22 21:00:41 MSK 2023","Fri Dec 22 21:00:42 MSK 2023","192","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldLoadPage","shouldLoadPage()",""
"passed","Fri Dec 22 20:59:41 MSK 2023","Fri Dec 22 20:59:50 MSK 2023","9175","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardCodeCvvFormat","shouldNotPassPurchaseDrFstCardCodeCvvFormat()",""
"failed","Fri Dec 22 20:59:56 MSK 2023","Fri Dec 22 21:00:12 MSK 2023","16500","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrSndCard","shouldNotPassPurchaseDrSndCard()",""
"failed","Fri Dec 22 21:01:00 MSK 2023","Fri Dec 22 21:01:05 MSK 2023","5155","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNameLatOneLetter","shouldNotPassPurchaseDrFstCardNameLatOneLetter()",""
"passed","Fri Dec 22 21:01:11 MSK 2023","Fri Dec 22 21:01:12 MSK 2023","1012","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardYearInvalid","shouldNotPassPurchaseDrFstCardYearInvalid()",""
"failed","Fri Dec 22 21:01:13 MSK 2023","Fri Dec 22 21:01:18 MSK 2023","5101","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardMonthFormat","shouldNotPassPurchaseDrFstCardMonthFormat()",""
"passed","Fri Dec 22 21:00:35 MSK 2023","Fri Dec 22 21:00:36 MSK 2023","978","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardYearFormat","shouldNotPassPurchaseDrFstCardYearFormat()",""
"passed","Fri Dec 22 21:00:42 MSK 2023","Fri Dec 22 21:00:43 MSK 2023","928","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardCodeCvvEmpty","shouldNotPassPurchaseDrFstCardCodeCvvEmpty()",""
"passed","Fri Dec 22 21:00:43 MSK 2023","Fri Dec 22 21:00:44 MSK 2023","971","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardMonthEmpty","shouldNotPassPurchaseDrFstCardMonthEmpty()",""
"passed","Fri Dec 22 21:00:24 MSK 2023","Fri Dec 22 21:00:25 MSK 2023","1143","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNrFormat","shouldNotPassPurchaseDrFstCardNrFormat()",""
"failed","Fri Dec 22 21:00:36 MSK 2023","Fri Dec 22 21:00:41 MSK 2023","5093","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNameSymbols","shouldNotPassPurchaseDrFstCardNameSymbols()",""
"failed","Fri Dec 22 21:01:18 MSK 2023","Fri Dec 22 21:01:34 MSK 2023","16184","","ru.netology.diploma.qa59.test.CreditGateTest","","ru.netology.diploma.qa59.test.CreditGateTest","shouldNotPassPurchaseCrSndCard","shouldNotPassPurchaseCrSndCard()",""
"passed","Fri Dec 22 21:01:34 MSK 2023","Fri Dec 22 21:01:42 MSK 2023","7610","","ru.netology.diploma.qa59.test.CreditGateTest","","ru.netology.diploma.qa59.test.CreditGateTest","shouldPassPurchaseCrFstCard","shouldPassPurchaseCrFstCard()",""
"passed","Fri Dec 22 21:00:49 MSK 2023","Fri Dec 22 21:01:00 MSK 2023","10322","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrInvalidCard","shouldNotPassPurchaseDrInvalidCard()",""
"failed","Fri Dec 22 20:59:50 MSK 2023","Fri Dec 22 20:59:56 MSK 2023","5410","","ru.netology.diploma.qa59.test.PaymentGateTest","","ru.netology.diploma.qa59.test.PaymentGateTest","shouldNotPassPurchaseDrFstCardNameCyrillic","shouldNotPassPurchaseDrFstCardNameCyrillic()",""
